experiment,fold,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch_classical_linear_svc_balanced,49,81,20,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,50,81,20,0.4,0.4,0.375,0.4375,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
whorl_resnet18_logistic_balanced,1,426,107,0.8504672897196262,0.5159863945578231,0.47887249457930087,0.866332750611265,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,2,426,107,0.897196261682243,0.4697278911564626,0.48316498316498313,0.8906589257056546,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,3,426,107,0.8598130841121495,0.42038946162657503,0.4188034188034188,0.8554996405463696,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,4,427,106,0.8679245283018868,0.37938144329896906,0.4047619047619048,0.8632075471698113,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,5,427,106,0.8962264150943396,0.5960481099656357,0.579292325406315,0.8972880021858417,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,6,426,107,0.8785046728971962,0.5894557823129252,0.5516215697562847,0.8858677814902695,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,7,426,107,0.8598130841121495,0.3129251700680272,0.3082077051926298,0.8468510778190015,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,8,426,107,0.8598130841121495,0.604524627720504,0.5513227513227513,0.8719774514167037,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,9,427,106,0.8773584905660378,0.38281786941580753,0.4065748126661832,0.8681844924541985,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,10,427,106,0.8773584905660378,0.6690721649484536,0.5975851309184642,0.8890163644880626,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,11,426,107,0.8411214953271028,0.4326530612244898,0.40811965811965817,0.8539420081476156,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,12,426,107,0.8411214953271028,0.4493197278911565,0.4336019957781616,0.8518285366864128,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,13,426,107,0.8878504672897196,0.4306987399770905,0.4258319232938523,0.8746145452820343,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,14,427,106,0.9056603773584906,0.4730240549828179,0.506974506974507,0.8931362138909309,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,15,427,106,0.9150943396226415,0.45979381443298967,0.468013468013468,0.8990851915380218,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,16,426,107,0.9065420560747663,0.5530612244897959,0.5598845598845599,0.8995967687556472,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,17,426,107,0.8598130841121495,0.45612244897959187,0.4484330484330485,0.8632957903985942,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,18,426,107,0.8878504672897196,0.45847651775486825,0.476625574087503,0.8778188176451852,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
