task,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch,linear_svc_C1,24,0.65,0.6333333333333333,0.6011396011396011,0.670940170940171,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,25,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,1,0.7619047619047619,0.5833333333333334,0.5714285714285714,0.693877551020408,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,rbf_svc_C1,2,0.6,0.4,0.375,0.5625,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,3,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,4,0.65,0.5,0.4982078853046595,0.6362007168458781,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,5,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,6,0.8095238095238095,0.6666666666666666,0.6911764705882353,0.7731092436974789,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,rbf_svc_C1,7,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,8,0.65,0.43333333333333335,0.3939393939393939,0.5909090909090909,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,9,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,10,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,11,0.6190476190476191,0.43333333333333335,0.38235294117647056,0.5462184873949579,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
