fold,stage,epoch,seconds,train_loss,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
2,full,11,8.922828084999992,0.30674336838722227,0.9733864844531164,0.4737594140382,0.9039145907473309,0.8594810498158185
2,full,12,7.169065765000028,0.30871827697753906,0.9781585357227808,0.49779728850435956,0.896797153024911,0.8456797458507445
2,full,13,8.414876236999987,0.3039902722835541,0.9712249213180227,0.48924151815977807,0.9074733096085409,0.8605841018884497
2,full,14,6.819906110999966,0.2834197133779526,0.9823529642512382,0.49306931487181854,0.9074733096085409,0.8586956834015658
2,full,15,8.75532075000001,0.28113241064548494,0.9895147377377675,0.5042266565709775,0.900355871886121,0.8408913835534526
3,head,1,14.607316878999995,1.3195251392546066,0.32745198202637915,1.3129010791996962,0.42748091603053434,0.3564354528885742
3,head,2,4.755591017999961,1.1914606240593533,0.4320967272365493,1.18657322876326,0.5038167938931297,0.408635609293504
3,head,3,6.716456334000043,1.1466960536135073,0.4877929841722145,1.1456776602577616,0.5038167938931297,0.4266274612007033
3,full,1,14.618535295000015,0.9822991059268655,0.6152949553258834,0.8323271461115539,0.7557251908396947,0.7178596491228071
3,full,2,6.634505917999945,0.712364618045893,0.7965621208250193,0.6135716729491721,0.8473282442748091,0.8252799072135889
3,full,3,7.984640775999992,0.5509649062414048,0.8491298713793521,0.5237618766668188,0.8854961832061069,0.8674046479084991
3,full,4,6.677765442000009,0.4545568385407314,0.8970741586669587,0.4864113801763258,0.8969465648854962,0.8810084482666898
3,full,5,8.082317711999963,0.41069144715387756,0.9187468506580152,0.47677972935538254,0.8931297709923665,0.8777489420156468
3,full,6,6.861721233000026,0.3859679910982205,0.9400101015400841,0.4697578585784854,0.9007633587786259,0.8848348750470907
3,full,7,7.996272928000053,0.3669127312445898,0.9361178125307128,0.46438175872082016,0.9083969465648855,0.89005681450506
3,full,8,6.569560153999987,0.3509498150823629,0.948232393009701,0.4723507024859654,0.916030534351145,0.8999038323694795
3,full,9,8.474118017000023,0.3214437353248334,0.9720756322315509,0.47636362205024896,0.9083969465648855,0.8895559922049989
3,full,10,6.536596939999981,0.30886180150497183,0.9688943539773737,0.4970214753660537,0.9045801526717557,0.8823245199744449
3,full,11,8.036636821999991,0.3023604416636653,0.9826715116751433,0.511198265179423,0.916030534351145,0.8973554660398739
3,full,12,6.555825829000014,0.30082599080228944,0.9818230160236404,0.4921863745642072,0.9122137404580153,0.8941227260899391
3,full,13,8.085739102999923,0.2820834993614182,0.9929039633708472,0.4838281808463672,0.9236641221374046,0.9086730600333589
3,full,14,6.48507348499993,0.2929538009913092,0.9839488139034716,0.47308320057301123,0.9236641221374046,0.9073691685547606
3,full,15,8.437019052999972,0.29292488399384886,0.9831077712579498,0.4901507669732771,0.916030534351145,0.8992363253856942
4,head,1,10.13154497000005,1.323159446223972,0.35947249852996876,1.2970520511586616,0.42127659574468085,0.3785792094615624
4,head,2,6.169936527000004,1.202288903196273,0.47542307546155016,1.1894792617635523,0.43829787234042555,0.34584611402805393
4,head,3,5.0389496499999495,1.1392981399769537,0.5062047342319113,1.1524643908155725,0.4723404255319149,0.3613159287935941
