task,model,repeat,split,split_seed,train_rows,test_rows,train_subjects,test_subjects,subject_overlap,accuracy,balanced_accuracy,macro_f1,weighted_f1,test_class_counts
arch,linear_svc_C1,1,4,244664,73,28,24,7,0,0.5714285714285714,0.5380116959064327,0.5333333333333333,0.5809523809523809,"{'plain_arch': 19, 'tented_arch': 9}"
arch,linear_svc_C1,1,5,244664,83,18,25,6,0,0.4444444444444444,0.46875,0.375,0.5370370370370371,"{'plain_arch': 16, 'tented_arch': 2}"
arch,linear_svc_C1,2,1,244665,82,19,24,7,0,0.5789473684210527,0.5340909090909092,0.5128205128205128,0.5411605937921727,"{'plain_arch': 11, 'tented_arch': 8}"
arch,linear_svc_C1,2,2,244665,75,26,24,7,0,0.5384615384615384,0.7391304347826086,0.4901960784313726,0.6108597285067874,"{'plain_arch': 23, 'tented_arch': 3}"
arch,linear_svc_C1,2,3,244665,79,22,26,5,0,0.6818181818181818,0.5208333333333334,0.5111111111111111,0.6424242424242425,"{'plain_arch': 16, 'tented_arch': 6}"
arch,linear_svc_C1,2,4,244665,78,23,24,7,0,0.6086956521739131,0.75,0.5964912280701754,0.6361556064073227,"{'plain_arch': 18, 'tented_arch': 5}"
arch,linear_svc_C1,2,5,244665,90,11,26,5,0,0.9090909090909091,0.875,0.8952380952380952,0.9056277056277057,"{'plain_arch': 7, 'tented_arch': 4}"
arch,linear_svc_C1,3,1,244666,95,6,27,4,0,0.5,0.3,0.3333333333333333,0.5555555555555555,"{'plain_arch': 5, 'tented_arch': 1}"
arch,linear_svc_C1,3,2,244666,91,10,27,4,0,0.5,0.45238095238095233,0.45054945054945056,0.5164835164835165,"{'plain_arch': 3, 'tented_arch': 7}"
arch,linear_svc_C1,3,3,244666,72,29,24,7,0,0.6551724137931034,0.6594202898550725,0.5972222222222222,0.6867816091954023,"{'plain_arch': 23, 'tented_arch': 6}"
arch,linear_svc_C1,3,4,244666,71,30,23,8,0,0.6333333333333333,0.54,0.5111111111111111,0.674074074074074,"{'plain_arch': 25, 'tented_arch': 5}"
arch,linear_svc_C1,3,5,244666,75,26,23,8,0,0.6153846153846154,0.556390977443609,0.5486111111111112,0.6287393162393162,"{'plain_arch': 19, 'tented_arch': 7}"
arch,linear_svc_C1,4,1,244668,76,25,26,5,0,0.64,0.5753968253968254,0.5714285714285714,0.6468571428571428,"{'plain_arch': 18, 'tented_arch': 7}"
arch,linear_svc_C1,4,2,244668,81,20,24,7,0,0.6,0.5625,0.5238095238095238,0.6380952380952382,"{'plain_arch': 16, 'tented_arch': 4}"
arch,linear_svc_C1,4,3,244668,93,8,26,5,0,0.5,0.4666666666666667,0.4666666666666667,0.5,"{'plain_arch': 5, 'tented_arch': 3}"
arch,linear_svc_C1,4,4,244668,91,10,25,6,0,0.5,0.5,0.45054945054945056,0.45054945054945056,"{'plain_arch': 5, 'tented_arch': 5}"
arch,linear_svc_C1,4,5,244668,63,38,23,8,0,0.7368421052631579,0.6175115207373272,0.6041666666666667,0.7489035087719299,"{'plain_arch': 31, 'tented_arch': 7}"
arch,linear_svc_C1,5,1,244669,84,17,27,4,0,0.6470588235294118,0.4230769230769231,0.39285714285714285,0.6008403361344538,"{'plain_arch': 13, 'tented_arch': 4}"
arch,linear_svc_C1,5,2,244669,82,19,24,7,0,0.47368421052631576,0.5520833333333333,0.43452380952380953,0.5363408521303259,"{'plain_arch': 16, 'tented_arch': 3}"
arch,linear_svc_C1,5,3,244669,91,10,28,3,0,0.5,0.6428571428571428,0.4949494949494949,0.47474747474747475,"{'plain_arch': 3, 'tented_arch': 7}"
arch,linear_svc_C1,5,4,244669,73,28,22,9,0,0.6428571428571429,0.6783625730994152,0.6354166666666667,0.6540178571428571,"{'plain_arch': 19, 'tented_arch': 9}"
arch,linear_svc_C1,5,5,244669,74,27,23,8,0,0.7777777777777778,0.5833333333333334,0.5597826086956521,0.8007246376811594,"{'plain_arch': 24, 'tented_arch': 3}"
arch,rbf_svc_C1,1,1,244664,85,16,26,5,0,0.625,0.5,0.5,0.625,"{'plain_arch': 12, 'tented_arch': 4}"
arch,rbf_svc_C1,1,2,244664,82,19,24,7,0,0.6842105263157895,0.5,0.40625,0.555921052631579,"{'plain_arch': 13, 'tented_arch': 6}"
arch,rbf_svc_C1,1,3,244664,81,20,25,6,0,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,1,4,244664,73,28,24,7,0,0.7142857142857143,0.5555555555555556,0.5130434782608696,0.6248447204968944,"{'plain_arch': 19, 'tented_arch': 9}"
arch,rbf_svc_C1,1,5,244664,83,18,25,6,0,0.6111111111111112,0.5625,0.48148148148148145,0.6831275720164609,"{'plain_arch': 16, 'tented_arch': 2}"
arch,rbf_svc_C1,2,1,244665,82,19,24,7,0,0.5789473684210527,0.5,0.36666666666666664,0.4245614035087719,"{'plain_arch': 11, 'tented_arch': 8}"
arch,rbf_svc_C1,2,2,244665,75,26,24,7,0,0.8076923076923077,0.6014492753623188,0.5873015873015872,0.8192918192918193,"{'plain_arch': 23, 'tented_arch': 3}"
arch,rbf_svc_C1,2,3,244665,79,22,26,5,0,0.7272727272727273,0.5520833333333334,0.5416666666666667,0.6742424242424243,"{'plain_arch': 16, 'tented_arch': 6}"
arch,rbf_svc_C1,2,4,244665,78,23,24,7,0,0.6956521739130435,0.5888888888888889,0.5818181818181818,0.7051383399209487,"{'plain_arch': 18, 'tented_arch': 5}"
arch,rbf_svc_C1,2,5,244665,90,11,26,5,0,0.8181818181818182,0.75,0.7708333333333333,0.7992424242424242,"{'plain_arch': 7, 'tented_arch': 4}"
arch,rbf_svc_C1,3,1,244666,95,6,27,4,0,0.3333333333333333,0.2,0.25,0.4166666666666667,"{'plain_arch': 5, 'tented_arch': 1}"
arch,rbf_svc_C1,3,2,244666,91,10,27,4,0,0.4,0.5714285714285714,0.375,0.325,"{'plain_arch': 3, 'tented_arch': 7}"
arch,rbf_svc_C1,3,3,244666,72,29,24,7,0,0.7931034482758621,0.5615942028985508,0.565,0.7496551724137931,"{'plain_arch': 23, 'tented_arch': 6}"
arch,rbf_svc_C1,3,4,244666,71,30,23,8,0,0.8,0.64,0.64,0.8,"{'plain_arch': 25, 'tented_arch': 5}"
arch,rbf_svc_C1,3,5,244666,75,26,23,8,0,0.7307692307692307,0.5,0.4222222222222222,0.6170940170940171,"{'plain_arch': 19, 'tented_arch': 7}"
arch,rbf_svc_C1,4,1,244668,76,25,26,5,0,0.8,0.6428571428571428,0.6612466124661247,0.756639566395664,"{'plain_arch': 18, 'tented_arch': 7}"
arch,rbf_svc_C1,4,2,244668,81,20,24,7,0,0.7,0.53125,0.53125,0.7,"{'plain_arch': 16, 'tented_arch': 4}"
arch,rbf_svc_C1,4,3,244668,93,8,26,5,0,0.625,0.5,0.38461538461538464,0.4807692307692308,"{'plain_arch': 5, 'tented_arch': 3}"
arch,rbf_svc_C1,4,4,244668,91,10,25,6,0,0.5,0.5,0.4949494949494949,0.494949494949495,"{'plain_arch': 5, 'tented_arch': 5}"
arch,rbf_svc_C1,4,5,244668,63,38,23,8,0,0.7631578947368421,0.46774193548387094,0.43283582089552236,0.7062058130400628,"{'plain_arch': 31, 'tented_arch': 7}"
arch,rbf_svc_C1,5,1,244669,84,17,27,4,0,0.6470588235294118,0.4230769230769231,0.39285714285714285,0.6008403361344538,"{'plain_arch': 13, 'tented_arch': 4}"
arch,rbf_svc_C1,5,2,244669,82,19,24,7,0,0.6842105263157895,0.5416666666666666,0.525,0.7131578947368421,"{'plain_arch': 16, 'tented_arch': 3}"
arch,rbf_svc_C1,5,3,244669,91,10,28,3,0,0.3,0.5,0.23076923076923078,0.13846153846153847,"{'plain_arch': 3, 'tented_arch': 7}"
arch,rbf_svc_C1,5,4,244669,73,28,22,9,0,0.7142857142857143,0.5847953216374269,0.5757575757575758,0.6623376623376623,"{'plain_arch': 19, 'tented_arch': 9}"
arch,rbf_svc_C1,5,5,244669,74,27,23,8,0,0.8148148148148148,0.6041666666666666,0.5896656534954408,0.8260722728807836,"{'plain_arch': 24, 'tented_arch': 3}"
arch,rbf_svc_C10,1,1,244664,85,16,26,5,0,0.75,0.5833333333333333,0.5897435897435898,0.717948717948718,"{'plain_arch': 12, 'tented_arch': 4}"
arch,rbf_svc_C10,1,2,244664,82,19,24,7,0,0.6842105263157895,0.5,0.40625,0.555921052631579,"{'plain_arch': 13, 'tented_arch': 6}"
arch,rbf_svc_C10,1,3,244664,81,20,25,6,0,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C10,1,4,244664,73,28,24,7,0,0.7142857142857143,0.5555555555555556,0.5130434782608696,0.6248447204968944,"{'plain_arch': 19, 'tented_arch': 9}"
arch,rbf_svc_C10,1,5,244664,83,18,25,6,0,0.6666666666666666,0.375,0.4,0.7111111111111111,"{'plain_arch': 16, 'tented_arch': 2}"
arch,rbf_svc_C10,2,1,244665,82,19,24,7,0,0.5789473684210527,0.5,0.36666666666666664,0.4245614035087719,"{'plain_arch': 11, 'tented_arch': 8}"
arch,rbf_svc_C10,2,2,244665,75,26,24,7,0,0.8461538461538461,0.6231884057971014,0.6231884057971014,0.8461538461538461,"{'plain_arch': 23, 'tented_arch': 3}"
arch,rbf_svc_C10,2,3,244665,79,22,26,5,0,0.6818181818181818,0.46875,0.40540540540540543,0.5896805896805897,"{'plain_arch': 16, 'tented_arch': 6}"
arch,rbf_svc_C10,2,4,244665,78,23,24,7,0,0.782608695652174,0.5722222222222222,0.5787545787545787,0.7443860487338748,"{'plain_arch': 18, 'tented_arch': 5}"
arch,rbf_svc_C10,2,5,244665,90,11,26,5,0,0.7272727272727273,0.625,0.611764705882353,0.6695187165775401,"{'plain_arch': 7, 'tented_arch': 4}"
arch,rbf_svc_C10,3,1,244666,95,6,27,4,0,0.5,0.3,0.3333333333333333,0.5555555555555555,"{'plain_arch': 5, 'tented_arch': 1}"
arch,rbf_svc_C10,3,2,244666,91,10,27,4,0,0.4,0.5714285714285714,0.375,0.325,"{'plain_arch': 3, 'tented_arch': 7}"
arch,rbf_svc_C10,3,3,244666,72,29,24,7,0,0.7931034482758621,0.5615942028985508,0.565,0.7496551724137931,"{'plain_arch': 23, 'tented_arch': 6}"
